rq,xq,tq,qw
20241012,六,阴天有小雨,18~25℃
20241013,日,阴天有小雨，局部中雨,17~21℃
20241014,一,北部多云到阴天，南部阴天有短时小雨,18~23℃
20241015,二,阴天转小雨,18~23℃
20241016,三,中雨，局部大雨,19~22℃
20241017,四,小到中雨转阴天,19~22℃
20241018,五,阴天转小雨,18~24℃
20241019,六,阴天有短时小雨,14~19℃
20241020,日,阴天有小到中雨,10~14℃
20241021,一,小雨转阴天,10~15℃
20241022,二,晴天,11~23℃
20241023,三,晴天到多云,11~23℃
20241024,四,晴天到多云,12~23℃
20241025,五,晴天到多云,12~24℃
20241026,六,多云转阴天,13~25℃
20241027,日,阴天有短时小雨,14~23℃
20241028,一,多云到晴,12-24℃
20241029,二,多云到晴,13~25℃
20241030,三,晴转多云,13~25℃
20241031,四,多云,13~23℃
20241101,五,多云,13~23℃
20241102,六,晴到多云,13~24℃
20241103,日,晴到多云,14~26℃
20241104,一,多云,12~23℃
20241105,二,多云到晴,11~21℃
20241106,三,多云到晴,8~22℃
20241107,四,多云到阴天,8~18℃
20241108,五,阴天转多云,13~20℃
20241109,六,阴天转多云,13~18℃
20241110,日,晴天到多云,12~24℃
20241111,一,晴天到多云,12~24℃
20241112,二,晴天转多云,11~24℃
20241113,三,多云转阴天,13~23℃
20241114,四,阴天有小雨,15~22℃
20241115,五,阴天有小雨,17~20℃
20241116,六,北部中雨，南部小到中雨,12~19℃
20241117,日,阴天转小雨,9~14℃
20241118,一,小雨转阴天,8~12℃
20241119,二,阴天有小雨,7~12℃
20241120,三,阴天到多云,8~15℃
20241121,四,多云,9~19℃
20241122,五,多云转小雨,9~17℃
20241123,六,阴天转小雨,9～13℃
20241124,日,小到中雨,8～12℃
20241125,一,小雨转多云,4～12℃
20241126,二,多云到晴,2～11℃
20241127,三,晴到多云,3～12℃
20241128,四,多云到晴,4～16℃
20241129,五,晴到多云,4～16℃
20241130,六,多云间晴,5~19℃
20241201,日,多云间晴,6~20℃
20241202,一,多云转小雨,7~17℃
20241203,二,阴天有小雨,8~13℃
20241204,三,小雨转阴天,7~12℃
20241205,四,阴天到多云,6~14℃
20241206,五,多云到晴,4~17℃
20241207,六,阴天到多云,4~11℃
20241208,日,多云转阴天,5~10℃
20241209,一,阴天转小雨,4~9℃
20241210,二,阴天有小雨,3~7℃
20241211,三,多云转阴天,3~9℃
20241212,四,阴天到多云,4~7℃
20241213,五,多云转晴天,1~13℃
20241214,六,多云到晴,1~11℃
20241215,日,晴到多云,1~14℃
20241216,一,晴天,1~15℃
20241217,二,晴到多云,2~14℃
20241218,三,多云转阴天，西部转小雨,4~12℃
20241219,四,阴天有小雨,2~8℃
20241220,五,多云,0~10℃
20241221,六,多云转阴天,0~10℃
20241222,日,阴天转小雨或雨夹雪,1~5℃
20241223,一,阴天转多云,﹣2~7℃
20241224,二,多云,0~9℃
20241225,三,多云,3~11℃
20241226,四,阴天有小雨,4~9℃
20241227,五,小雨转多云,﹣1~8℃
20241228,六,晴天转多云,﹣1~10℃
20241229,日,多云到阴天,1~9℃
20241230,一,多云转晴天,2~14℃
20241231,二,晴天,2~15℃
20250101,三,晴天转多云,2~16℃
20250102,四,多云转短时小雨,4~14℃
20250103,五,多云到阴天,4~13℃
20250104,六,小雨转多云,1~8℃
20250105,日,晴天,1~16℃
20250106,一,多云,2~14℃
20250107,二,阴天,4~10℃
20250108,三,阴天转小雨,3~9℃
20250109,四,小雨转多云,0~4℃
20250110,五,多云到晴天,0~9℃
20250111,六,多云到晴,0~14℃
20250112,日,多云到晴,0~14℃
20250113,一,多云转阴天,1~14℃
20250114,二,小雨转多云,4~10℃
20250115,三,多云到晴,﹣2~11℃
20250116,四,多云,﹣1~11℃
20250117,五,多云转阴天,1~11℃
20250118,六,多云转晴天,3~16℃
20250119,日,晴天,3~20℃
20250120,一,晴天转多云,4~21℃
20250121,二,多云,6~19℃
20250122,三,多云到阴天,7~14℃
20250123,四,多云到阴天,7~15℃
20250124,五,阴天转小雨,5~12℃
20250128,二,晴天,-2~12℃
20250129,三,晴天转多云,0~15℃
20250130,四,多云转阴天,1~13℃
20250131,五,阴天有小雨,2~10℃
20250201,六,阴天有小雨,3~5℃
20250202,日,"白天有短时小雨,夜间阴天转多云",3~6℃
20250203,一,多云到晴,3~13℃
20250204,二,多云,3~11℃
20250205,三,多云转阴天,4~10℃
20250206,四,阴天转小雨,2~8℃
20250207,五,小雨,2~6℃
20250208,六,多云转晴天,﹣2~5℃
20250209,日,晴天转多云,﹣2~9℃
20250210,一,多云转阴天,2~12℃
20250211,二,阴天转小雨,2~10℃
20250212,三,阴天有间断小雨,3~11℃
20250213,四,阴天有间断小雨,3~9℃
20250214,五,阴天有间断小雨,4~9℃
20250215,六,多云转晴天,5~18℃
20250216,日,晴天转多云,5~20℃
20250217,一,阴天转多云,4~12℃
20250218,二,多云转阴天，夜间有短时小雨,4~12℃
20250219,三,短时小雨转阴天,5~10℃
20250220,四,阴天,5~11℃
20250221,五,阴天,6~10℃
20250222,六,阴天有小雨,5~8℃
20250223,日,阴天到多云,4~10℃
20250224,一,阴天有小雨,3~8℃
20250225,二,阴天转多云,3~12℃
20250226,三,多云转晴,4~16℃
20250227,四,晴天,5~18℃
20250228,五,晴转多云,7~20℃
20250301,六,阴天转小到中雨,12~19℃
20250302,日,中到大雨,5~21℃
20250303,一,小雨转多云,2~6℃
20250304,二,多云到阴天,2~10℃
20250305,三,阴天,3~9℃
20250306,四,阴天,4~10℃
20250307,五,多云到晴,3~13℃
20250308,六,多云转小雨,7~18℃
20250309,日,短时小雨转多云,6~12℃
20250310,一,多云到晴,5~19℃
20250311,二,阴天有小雨,8~20℃
20250312,三,阴天,8~16℃
20250313,四,阴天有小雨,8~17℃
20250314,五,小雨转阴天,7~16℃
20250315,六,小雨转阴天,6~15℃
20250316,日,多云到晴,3~15℃
20250317,一,多云到晴,4~17℃
20250318,二,晴天,5~18℃
20250319,三,晴天,6~20℃
20250320,四,晴天,7~22℃
20250321,五,晴到多云,8~24℃
20250322,六,多云转短时小雨,12~25℃
20250323,日,多云转晴,11~26℃
20250324,一,晴到多云,13~28℃
20250325,二,晴到多云,16~31℃
20250326,三,多云，局地阵雨,18~32℃
20250327,四,阴天有小雨，局地中雨,8~23℃
20250328,五,阴天转多云,5~14℃
20250329,六,阴天,6~12℃
20250330,日,阴天到多云,6~15℃
20250331,一,多云,7~19℃
20250401,二,多云到晴,9~25℃
20250402,三,晴转多云,11~26℃
20250403,四,多云,12~26℃
20250404,五,多云转晴,11~28℃
20250405,六,晴天到多云,10~27℃
20250406,日,多云到晴天,11~28℃
20250407,一,晴天到多云,13~30℃
20250408,二,晴天到多云,15~32℃
20250409,三,晴天到多云,14~32℃
20250410,四,多云到晴天,15~33℃
20250411,五,多云到晴天,16~34℃
20250412,六,多云转晴天,11～25℃
20250413,日,晴天到多云,12～31℃
20250414,一,晴天到多云,13～32℃
20250415,二,多云有阵雨,14～29℃
20250416,三,多云到晴天,16～33℃
20250417,四,多云有阵雨,17～29℃
20250418,五,多云有阵雨,17～28℃
20250419,六,阴天到多云,18～29℃
20250420,日,多云转小到中雨,20～31℃
20250421,一,中雨转多云,18～30℃
20250422,二,多云,16～28℃
20250423,三,多云,15～28℃
20250424,四,多云,16～28℃
20250425,五,多云转阵雨,16～28℃
20250426,六,阴天有小雨,16～23℃
20250427,日,阴天转多云,17～28℃
20250428,一,多云到晴,16～29℃
20250429,二,阴天到多云,17～27℃
20250430,三,多云到晴,17～32℃
20250501,四,晴到多云,18～34℃
20250502,五,晴到多云,19～35℃
20250503,六,多云到晴,19～30℃
20250504,日,多云有阵雨,18～25℃
20250505,一,多云到晴,17～32℃
20250506,二,晴到多云,17～33℃
20250507,三,多云有阵雨,17～31℃
20250508,四,阴天转多云,17～27℃
20250509,五,多云有阵雨,17～30℃
20250510,六,多云,15～28℃
20250511,日,晴到多云,15～32℃
20250512,一,晴到多云,16～34℃
20250513,二,小到中雨,17～32℃
20250514,三,多云有阵雨,19～28℃
20250515,四,晴到多云,18～31℃
20250516,五,晴到多云,19～34℃
20250517,六,多云,20～31℃
20250518,日,多云转晴,19～31℃
20250519,一,晴到多云,19～35℃
20250520,二,晴到多云,22～36℃
20250521,三,多云有阵雨,23～33℃
20250522,四,小雨转中雨,23～29℃
20250523,五,晴转多云,19~28℃
20250524,六,多云到晴,19~28℃
20250525,日,多云,19~29℃
20250526,一,晴转多云,19~29℃
20250527,二,多云转小到中雨,20~26℃
20250528,三,阵雨转多云,19~28℃
20250529,四,晴到多云,20~31℃
20250530,五,多云转小到中雨,21~30℃
20250531,六,中雨到大雨,20~23℃
20250601,日,小到中雨转阴天,19~23℃
20250602,一,多云,19~28℃
20250603,二,多云到晴,20~29℃
20250604,三,多云到晴,20~29℃
20250605,四,多云有阵雨,19~29℃
20250606,五,多云转雷阵雨,24～33℃
20250607,六,中雨，局部大雨,23～28℃
20250608,日,小雨，局部中雨,23～29℃
20250609,一,阴天有短时小雨,23～31℃
20250610,二,多云有短时小雨,23～32℃
20250611,三,多云到晴,22～33℃
20250612,四,多云到晴,22～34℃
20250613,五,晴到多云,21~35℃
20250614,六,多云有阵雨,22~36℃
20250615,日,晴到多云,21~35℃
20250616,一,晴到多云,21~37℃
20250617,二,晴转多云,22~37℃
20250618,三,多云转阵雨,24~35℃
20250619,四,中到大雨,26~29℃
20250620,五,北部小到中雨，南部中雨到大雨,24~28℃
20250621,六,小到中雨转阴天,22~26℃
20250622,日,阴天到多云,21~28℃
20250623,一,多云,22~29℃
20250624,二,多云转中雨,20~30℃
20250625,三,大雨,20~23℃
20250626,四,小雨转多云,20~28℃
20250627,五,多云,21~32℃
20250628,六,多云到晴,23~33℃
20250629,日,多云到晴,24~33℃
20250630,一,多云有阵雨,24～34℃
20250701,二,多云到晴,25～34℃
20250702,三,晴天,26～36℃
20250703,四,晴天,26～37℃
20250704,五,晴天,26～38℃
20250705,六,晴到多云,26～38℃
20250706,日,晴到多云,27～38℃
20250707,一,多云有阵雨,27～36℃
20250708,二,多云有阵雨,27～35℃
20250709,三,阵雨,25～34℃
20250710,四,阵雨,26～31℃
20250711,五,多云有阵雨,26～35℃
20250712,六,多云有阵雨,26～35℃
20250713,日,晴到多云,27～36℃
20250714,一,晴到多云,28～37℃
20250715,二,晴到多云,28～38℃
20250716,三,晴到多云,28～39℃
20250717,四,晴到多云,27～37℃
20250718,五,多云有阵雨,26～34℃
20250719,六,晴到多云,25～35℃
20250720,日,多云有阵雨,26～35℃
20250721,一,多云有阵雨,25～33℃
20250722,二,晴到多云,25～34℃
20250723,三,晴到多云,26～35℃
20250724,四,晴到多云,26～35℃
20250725,五,晴天到多云,25～35℃
20250726,六,晴天到多云,26～35℃
20250727,日,多云有阵雨,26～36℃
20250728,一,多云有阵雨,26～35℃
20250729,二,多云有阵雨,26～35℃
20250730,三,晴天到多云,27～35℃
20250731,四,晴天到多云,27～36℃
20250801,五,晴到多云,26~37℃
20250802,六,晴到多云,26~37℃
20250803,日,晴到多云,27~38℃
20250804,一,晴到多云,28~38℃
20250805,二,晴到多云,28~38℃
20250806,三,多云转阵雨,28~36℃
20250807,四,多云有阵雨,28~35℃
20250808,五,多云有阵雨,26~35℃
20250809,六,阵雨转中到大雨,26~35℃
20250810,日,中到大雨,25~30℃
20250811,一,大雨到暴雨,24~28℃
20250812,二,中到大雨,24~27℃
20250813,三,多云有阵雨,23~29℃
20250814,四,多云有阵雨,24~30℃
20250815,五,多云有阵雨,24~34℃
20250816,六,多云到晴，西部阵雨,25~35℃
20250817,日,晴到多云,25~36℃
20250818,一,晴到多云,26~37℃
20250819,二,晴到多云,26~37℃
20250820,三,晴到多云,27~37℃
20250821,四,多云有阵雨,27~36℃
20250822,五,多云有阵雨,25~33℃
20250823,六,多云有阵雨,25~34℃
20250824,日,晴到多云,25~35℃
20250825,一,晴到多云,26~36℃
20250826,二,晴到多云,26~37℃
20250827,三,晴到多云,26~38℃
20250828,四,晴到多云,26~38℃
20250829,五,分散性中雨到大雨,26~36℃
20250830,六,分散性中雨到大雨,24~33℃
20250831,日,分散性中雨到大雨,23~30℃
20250901,一,分散性中到大雨,23~29℃
20250902,二,多云,24~32℃
20250903,三,多云有阵雨,25~34℃
20250904,四,多云有阵雨,25~35℃
20250905,五,多云转分散性大雨到暴雨,26~34℃
20250906,六,阴天有间断小雨,24~29℃
20250907,日,阴天到多云,23~30℃
20250908,一,多云有阵雨,23~30℃
20250909,二,多云有阵雨,24~31℃
20250910,三,多云有阵雨,25~31℃
20250911,四,多云,25~32℃
20250912,五,中到大雨,22~25℃
20250913,六,北部小雨转多云，南部阴天有中雨,21~26℃
20250914,日,多云有阵雨,22~30℃
20250915,一,多云有阵雨,24~33℃
20250916,二,多云有阵雨,23~35℃
20250917,三,阴天有小雨,22~28℃
20250918,四,阴天有小雨,21~25℃
20250919,五,阴天有小雨,17~21℃
20250920,六,多云转小雨,18~25℃
20250921,日,阴天有小雨,19~22℃
20250922,一,阴天有小雨,18~22℃
20250923,二,阴天有小雨,19~22℃
20250924,三,多云转阵雨,19~27℃
20250925,四,阵雨,18~25℃
20250926,五,小雨转阴天,20~24℃
20250927,六,多云到阴天,21~27℃
20250928,日,多云转小雨,21~29℃
20250929,一,阴天有小雨,20~23℃
20250930,二,阴天有小雨,20~24℃
20251001,三,阴天有短时小雨,21~27℃
20251002,四,阴天有小雨,20~25℃
20251003,五,小雨转阴天,20~24℃
20251004,六,阴天,21~26℃
20251005,日,多云,23~30℃
20251006,一,阴天到多云,23~28℃
20251007,二,多云,23~28℃
20251008,三,多云到阴天,20~28℃
20251009,四,多云到阴天,20~33℃
20251010,五,多云到阴天,21~28℃
20251011,六,多云到阴天,21~28℃
20251012,日,多云转小雨,20~28℃
20251013,一,小到中雨,17~21℃
20251014,二,阴天到多云,17~23℃
20251015,三,多云到阴天,18~26℃
20251016,四,多云到阴天,18~25℃
20251017,五,中雨到大雨，局部暴雨,16~19℃
20251018,六,阴天有小雨，局部中雨,15~18℃
20251019,日,阴天有小雨,13~17℃
20251020,一,阴天有小雨，局部中雨,10~13℃
20251021,二,阴天转多云,9~15℃
20251022,三,多云间晴,9~17℃
20251023,四,晴转多云,10~19℃
20251024,五,多云转阴天,12~18℃
20251025,六,小雨转多云,10~15℃
20251026,日,多云到阴天,11~19℃
20251027,一,阴天到多云,11~19℃
20251028,二,多云到晴,10~21℃
20251029,三,多云转小雨,11~20℃
20251030,四,阴天有短时小雨,13~18℃
20251031,五,多云,13~21℃
20251101,六,多云,12~22℃
20251102,日,多云,13~22℃
20251103,一,多云转阴天,13~20℃
20251104,二,阴天转多云,11~19℃
20251105,三,多云转阴天,11~20℃
20251106,四,阴天转小雨,12~19℃
20251107,五,阴天有小雨,14~17℃
20251108,六,阴天有小雨,14~17℃
20251109,日,阴天有小雨,13~17℃
