xh,gl,ml,kl,mc,ywm,sbtz,xx,fb,bwdj,sy,tp
36,鸟纲,雁形目,鸭科,花脸鸭,Baikal Teal,体长30—40cm。雄鸭繁殖羽极为艳丽，特别是脸部由黄、绿、黑、白等多种色彩组成的花斑极为醒目。胸侧和尾基两侧各有一条垂直白带，可以明显区别于其他野鸭。雄鸭非繁殖羽似雌鸭。,主要以轮叶藻、柳叶藻、菱角、水草等各类水生植物的芽、嫩叶、果实和种子为食。喜欢集群活动，特别是冬季常集成大群，也常和其他鸭混群。,夷陵区、枝江。,国家二级重点保护野生动物，CITES附录Ⅱ，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/25ed3ca3-4af5-42c8-9916-00d0844ec0bb.jpeg
37,鸟纲,雁形目,鸭科,青头潜鸭,Baer's Pochard,成鸟体长40—50cm。胸深褐，腹部及两肋白色，翼下羽及二级飞羽白色，飞行时可见黑色翼缘。繁殖期雄鸟头亮绿色，偏黑。雌鸟头颈黑褐色，头侧、颈侧棕褐色，眼先与嘴基之间有一栗红色近似圆形斑，眼褐色或淡黄色。颌部有一三角形白色小斑。,以各种水草的根、叶、茎和种子等为食，也吃软体动物、水生昆虫、甲壳类动物、蛙等动物性食物。多栖息在大的湖泊、江河、海湾、河口、水塘和沿海沼泽地带，不喜欢水流湍急的河流。常成对或成小群活动在水边水生植物丛中或附近水面上。,枝江、当阳。,国家一级重点保护野生动物，CITES未记录，IUCN等级属极危。,拍信文创,https://data.yichang.gov.cn/karma/pic/bb5cbb67-5a4a-4ca2-b6a7-c576e61badca.jpeg
38,鸟纲,雁形目,鸭科,白秋沙鸭,Smew,又名斑头秋沙鸭，成鸟体长40cm左右。雄鸟体羽以黑白色为主，眼周、枕部、背黑色，腰和尾灰色，两翅灰黑色。雌鸟上体黑褐色，下体白色，头顶栗色。,以小型鱼类、甲壳类、贝类、水生昆虫石蚕等无脊椎动物为食。潜水觅食，白天觅食活动，夜晚栖于芦苇丛或树洞中休息。在宜昌为冬候鸟。,枝江、当阳。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/f47a66e4-da00-4a5a-83ae-66852b4804fe.jpeg
39,鸟纲,雁形目,鸭科,中华秋沙鸭,Mergus squamatus,成鸟体长54—63cm。嘴长而窄，呈红色。鼻孔位于嘴峰中部，羽冠长而明显，成双冠状。雄鸟的头、上背及肩羽黑色。下背、腰和尾上覆羽白色，杂以黑色斑纹。两胁的羽毛上所具黑色鳞纹是中华秋沙鸭最醒目的特征，所以其早先的名字叫鳞胁秋沙鸭。,成对或以家庭为群，常成3—5只小群活动，主食鱼类、石蚕科的蛾及甲虫等。潜水捕食鱼类。性机警，稍有惊动就昂首缩颈不动，随即起飞或急剧游至隐蔽处。,当阳、宜都、远安。,国家一级重点保护野生动物，CITES未记录，IUCN等级属濒危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/a20fcd1d-53d4-4da0-a58d-62d4178fa63b.jpeg
40,鸟纲,雁形目,鸭科,白头硬尾鸭,White-headed Duck,成鸟体长40—50cm。尾硬而上翘或贴于水面。头黑白两色。雄鸟头白，顶及领黑，繁殖期嘴蓝色。雌鸟及雏鸟头部深灰。偶有第一春的雄鸟头全黑，嘴基明显膨大。白头硬尾鸭在中国是非常罕见的鸟类。,主要以眼子菜、水草等水生植物为食，也吃昆虫幼虫、小鱼、蛙、甲壳类动物、软体动物、蠕虫等水生动物。繁殖期主要栖息于开阔平原地区的淡水湖泊，尤其是紧靠大湖泊附近的浅水小湖和水塘。,历史文献记载，无观测记录。,国家一级重点保护野生动物，CITES附录Ⅱ，IUCN等级属濒危。,拍信文创,https://data.yichang.gov.cn/karma/pic/3ebe7e78-7510-42c4-a932-06e6d66592b5.jpeg
41,鸟纲,䴙䴘目,䴙䴘科,黑颈䴙䴘,Black-necked Grebe,成鸟体长25—30cm。虹膜红色，嘴黑色。夏羽头、颈和上体黑色，眼后有一簇呈扇形散开、像头发一样的丝状饰羽，基部棕红色，逐渐变为金黄色。冬羽额、头顶、枕、后颈至背石板黑色，微缀褐色光泽；颏、喉、颊及后头两侧白色，前颈暗褐色；腰中部黑色，腰侧和尾部白色，且具黑色羽尖。,潜水觅食，以昆虫及其幼虫、各种小鱼、蛙、蝌蚪、蠕虫以及甲壳类动物和软体动物为食。通常成对或成小群在开阔水面活动。繁殖期则多在挺水植物丛中或附近水域中活动，遇人则躲入水草丛。,枝江。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/b8650579-5177-443e-bdc3-8206dcd1698a.jpeg
42,鸟纲,鸽形目,鸠鸽科,红翅绿鸠,White-bellied Green Pigeon,成鸟体长20—30cm。腹部近白色，腹部两侧及尾下覆羽具灰斑。雄鸟翼覆羽绛紫色，上背偏灰色，头顶橘黄色。雌鸟通体绿色，眼周裸皮偏蓝色。虹膜红色，喙偏蓝色，脚红色。,主要以山樱桃、草莓等浆果为食，也吃其他植物的果实与种子，觅食多在乔木、灌木树上，也在地上觅食。栖于原生常绿林和天然次生林中。群栖，飞行速度极快。,夷陵区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/28d07905-e816-414f-916b-f686c80a2407.jpeg
43,鸟纲,鹃形目,杜鹃科,小鸦鹃,Lesser Coucal,成鸟体长30cm左右。成鸟似褐翅鸦鹃，但体型较小，也较少光泽，上背及两翼的栗色较浅且现黑色。亚成鸟体羽褐色，而具浅色羽轴，形成条纹。虹膜红色，喙黑色，脚黑色。,主要以蝗虫、蝼蛄、金龟甲、椿象、白蚁、螳螂、蠡斯等昆虫和其他小型动物为食，也吃少量植物的果实与种子。栖息于山边或近水的灌丛和高草地中，可至海拔1000m以上。常在地面活动，有时紧贴植被上方作短距离的飞行，并时常可见立于突出处，两翅半张开保持平衡。,夷陵、枝江。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/967fd90e-1732-4ab5-bffa-07f63363a964.jpeg
44,鸟纲,鹃形目,杜鹃科,褐翅鸦鹃,Greater Coucal,两翅、肩和肩内侧栗色，其余体羽，包括翼下覆羽和尾羽全为黑色。头至胸有紫蓝色光泽和亮黑色羽干纹，胸至腹具绿色光泽，尾羽有铜绿色光泽。初级飞羽和外侧次级飞羽具暗色羽端。冬季上体羽干色淡，下体具横斑。,喜欢单只或成对活动，很少成群。行动十分迅速，还常把尾、翅展成扇形，上下急扭。食性较杂，主要以毛虫、蝗虫、蚱蜢、蚁和蜂等昆虫为食，也吃蜈蚣、蟹、螺、蚯蚓、甲壳类动物、软体动物等其他无脊椎动物，以及蛇、蜥蜴、鼠类、鸟卵和雏鸟等脊椎动物，有时还吃一些杂草种子和果实等植物性食物。,枝江。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,图虫创意,https://data.yichang.gov.cn/karma/pic/d619e21c-719b-4f02-b9f1-d4beb67831b0.jpeg
45,鸟纲,鹤形目,鹤科,白鹤,Siberian Crane,成鸟体长130—140cm。雌雄同色，雌鹤略小，亚成体为金棕色。嘴橘黄，脸上裸皮红色，腿粉红，飞行时黑色的初级飞羽明显。,冬季常常集成数十只，甚至上百只的大群，以苦草、眼子菜等植物的茎和块根为食，也吃水生植物的叶、嫩芽和少量蚌、螺、软体动物、昆虫、甲壳动物等动物性食物。,当阳、宜都。,国家一级重点保护野生动物，CITES附录Ⅰ，IUCN等级属极危。,李风,https://data.yichang.gov.cn/karma/pic/5d407e8a-70e5-4048-8289-46f460af6b07.jpeg
46,鸟纲,鹤形目,鹤科,灰鹤,Common Crane,成鸟体长90—120cm。前顶冠黑色，中心红色，头及颈深青灰色。自眼后有一道宽的白色条纹伸至颈背。体羽余部灰色，背部及长而密的三级飞羽略带褐色。,以植物的叶、茎、嫩芽、块茎、草籽、玉米、谷粒、马铃薯、白菜，以及软体动物、昆虫、蛙、蜥蜴、鱼类等为食。栖息于开阔平原、草地、沼泽、河滩、旷野、湖泊及农田地带，尤其是富有水边植物的开阔湖泊和沼泽地带。,当阳。,国家二级重点保护野生动物，CITES附录Ⅱ，IUCN等级属无危。,郭莎,https://data.yichang.gov.cn/karma/pic/5430e9aa-9a8b-401b-8ce8-b7e274da32c5.jpeg
47,鸟纲,鸻形目,鹮嘴鹬科,鹮嘴鹬,Ibisbill,成鸟体长30—40cm。腿及喙红色，喙长且下弯。有一道前白后黑的横带将灰色的上胸与白色腹部隔开，翼下白色，翼上中心具鲜明的白色宽带。幼鸟上体具皮黄色鳞状纹，黑色斑纹不甚清晰，腿及喙近粉色。虹膜褐色，喙、脚绯红色。,主要食蠕虫、蜈蚣以及蜉蝣目、毛翅目、等翅目、半翅目、鞘翅目、膜翅目等昆虫和昆虫幼虫。栖于山区水清澈、河床多、卵石大、水流快的河流沿岸。在华北可在低至海拔300m的沟谷繁殖，在横断山区夏季活动范围可高至海拔5000m左右。,历史文献记载，无观测记录。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,竺宝英,https://data.yichang.gov.cn/karma/pic/c73063e6-f129-49c4-8160-efdb71462b74.jpeg
48,鸟纲,鸻形目,水雉科,水雉,Pheasant-tailed Jacana,"成鸟体长30—50cm。喙短、腿脚特长，尾羽特长，飞行时白色翼明显，非繁殖羽头顶、背及胸上横斑灰褐色，颏、前颈、眉、喉及腹部白色，两翼近白色；黑色的贯眼纹下延至颈侧，下枕部金黄色。繁殖羽头、下颌、颈下白色，后枕至颈背黄色，有黑色边缘将其与白色部分隔开，背部深褐色，腹部黑色，飞羽尖和尾羽黑色。虹膜黄色，喙黄色或灰蓝色(繁殖期),脚棕灰色或偏蓝色。",以昆虫、虾、软体动物、甲壳类动物等小型无脊椎动物和水生植物为食。单独或成小群活动，冬季有时亦集成大群。性活泼，善行走，步履轻盈，能在漂浮于水面的百合、莲、菱角等水生植物上来回奔走和停歇。,枝江。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,刘康,https://data.yichang.gov.cn/karma/pic/79606c2f-f488-4060-bb88-f7c35b61bad4.jpeg
49,鸟纲,鸻形目,鹬科,白腰杓鹬,Eurasian Curlew,成鸟体长50—60cm。喙甚长而下弯，腰白色，渐变成尾部色并有褐色横纹。与大杓鹬的区别在于腰和尾较白，与中杓鹬的区别在于体型较大，头部无图纹，喙较长。虹膜褐色，喙褐色，脚青灰色。,主要以甲壳类、软体动物、蠕虫、昆虫及其幼虫为食，也啄食小鱼和蛙。非繁殖季节喜栖息于潮间带河口、河岸及沿海滩涂上。多见单独活动，有时结小群或与其他种类混群。夏季选择在开阔湿草地或湿地附近繁殖。,当阳。,国家二级重点保护野生动物，CITES未记录，IUCN等级属近危。,李风,https://data.yichang.gov.cn/karma/pic/68225e35-5143-4bab-b220-612a8ad20f09.jpeg
50,鸟纲,鹳形目,鹳科,黑鹳,Black Stork,成鸟体长100—117cm。身体黑色羽毛具有金属光泽，胸部、腹部、翼下三级飞羽和次级飞羽内侧白色。亚成体为褐色。眼周裸皮，喙、脚红色。,冬季栖息在开阔湖泊、河岸和沼泽地带。集群活动。主要以鱼为食。喜欢在冬季捕捞放水形成浅滩的鱼塘中捡拾小鱼和甲壳类食物。,枝江、当阳、远安、夷陵区。,国家一级重点保护野生动物，CITES附录Ⅱ，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/1afdf535-351b-47d5-baa9-87206faff131.jpeg
51,鸟纲,鹳形目,鹳科,东方白鹳,Oriental Stork,成鸟体长120—130cm。雌雄同色，长而粗壮的嘴十分坚硬，呈黑色，仅基部缀有淡紫色或深红色。嘴的基部较厚，往尖端逐渐变细，并且略微向上翘。眼睛周围、眼线和喉部的裸露皮肤都是朱红色，眼睛内的虹膜为粉红色，外圈为黑色。身体上的羽毛主要为纯白色。翅膀宽而长，上面的大覆羽、初级覆羽、初级飞羽和次级飞羽均为黑色，并具有绿色或紫色的光泽。亚成体羽色较淡，呈褐色，金属光泽弱。,越冬地主要集中在长江中下游的湿地湖泊。主要以鱼类为食，也吃蛙、鼠、蛇、蜥蜴、蜗牛、软体动物、节肢动物、甲壳动物、环节动物、昆虫和幼虫，以及雏鸟等其他动物性食物。觅食时常成对或成小群漫步在水边或草地、沼泽地上，步履轻盈矫健，边走边啄食。,枝江、宜都、远安。,国家一级重点保护野生动物，CITES附录I，IUCN等级属濒危。,李风,https://data.yichang.gov.cn/karma/pic/5638e323-59cf-4255-9be4-7e4f7d65d49b.jpeg
52,鸟纲,鹈形目,鹮科,白琵鹭,Eurasian Spoonbill,成鸟体长84cm。全身羽毛白色，嘴长直、扁阔似琵琶，眼先、眼周、颏、上喉裸皮黄色。胸及头部冠羽黄色。颈、腿均长，腿下部裸露呈黑色。,以虾、蟹、水生昆虫、昆虫幼虫、蠕虫、甲壳类动物、软体动物、蛙、蝌蚪、蜥蜴、小鱼等小型脊椎动物和无脊椎动物为食。常成群活动，偶尔见单只。休息时常在水边成“一”字形散开，长时间站立不动。性机警，畏人，很难接近。,当阳、夷陵区。,"国家二级重点保护野生动物，CITES附录Ⅱ,IUCN等级属无危。",李风,https://data.yichang.gov.cn/karma/pic/b41a7584-a2e7-4ab6-93fc-a3c49148be57.jpeg
53,鸟纲,鹈形目,鹭科,海南鳽,White-eared Night Heron,"成鸟体长50—56cm,与白鹭大小近似。雌雄同色，雌鸟较小，上体羽毛为暗褐色，飞羽呈石板灰色，并具有绿色的金属光泽，翅膀上的覆羽为暗褐色，具有少许白色斑点。嘴的基部和眼先为绿色。前额、头顶、头侧、枕部和长长的冠羽均为黑色，虹膜为黄色，脚为绿黑色。",部分留鸟，部分候鸟。一般白天隐藏，晚上出来活动，尤以晨昏活动最为频繁，但繁殖育雏期间，有时白天也出来活动觅食。以小鱼、蛙和昆虫等动物性食物为主。在滩地上和浅水区觅食鱼虾、小螺和昆虫等，在林中树上营巢。不喜群居，不喜鸣叫。,远安、夷陵区。,国家一级重点保护野生动物，CITES未记录，IUCN等级属濒危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/7802bf10-b195-4b69-b4fb-7f073c532087.jpeg
54,鸟纲,鹰形目,鹗科,鹗,Western Osprey,成鸟体长50cm左右。头及下体白色，特征为具黑色贯眼纹。上体多暗褐色，深色的短冠羽可竖立。亚种区别在于头上白色及下体纵纹的多少。,以鱼类为食，有时也捕食蛙、蜥蜴、小型鸟类等其他小型陆栖动物。栖息于湖泊、河流、海岸等地，尤其喜欢在山地森林中的河谷或有树木的水域地带活动，冬季也常到开阔无林地区的河流、水库、水塘地区活动。,枝江。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/6d5561da-d48c-4109-bf2d-b25327621687.jpeg
55,鸟纲,鹰形目,鹰科,秃鹫,Cinereous Vulture,成鸟体长108—120cm。额至后枕被有暗褐色绒羽，后头较长而致密，羽色亦较淡，头侧、颊、耳区具稀疏的黑褐色毛状短羽，眼先被有黑褐色纤羽，后颈上部赤裸无羽且有铅蓝色，颈基部具长的淡褐色至暗褐色羽簇形成的皱翎，有的皱翎缀有白色。虹膜褐色，嘴端黑褐色，蜡膜铝蓝色，跗跖和趾灰色，爪黑色。幼鸟和成鸟基本相似，但体色较暗，头更较裸露。,"吃的大多是哺乳动物的尸体，特别注意孤零零地躺在地上的动物，被称为“草原上的清洁工”,也沿山地低空飞行，主动攻击中小型兽类、两栖类、爬行类和鸟类，有时也袭击家畜。常单独活动，偶尔也成3—5只小群，最大群可达10多只，特别在食物丰富的地方。",夷陵区。,"国家一级重点保护野生动物，CITES附录I,IUCN等级属近危。",李风,https://data.yichang.gov.cn/karma/pic/b39673d3-cb3e-4e31-ba8a-ac86bc485100.jpeg
56,鸟纲,鹰形目,鹰科,金雕,Golden Eagle,"成鸟体长76—102cm,翼展达2.3m。雌雄同色，亚成体头、颈黄棕色。头具金色羽冠，嘴巨大。飞行时腰部白色明显可见。尾长而圆，两翼呈浅“V”形。与白肩雕的区别在肩部无白色。亚成鸟翼具白色斑纹，尾基部白色。",主要捕食大型的鸟类和中小型兽类，所食鸟类有雁、鸭，兽类有鼠兔、兔和偶蹄目食植兽幼崽，也有黄鼬、藏狐、狗獾等小型食肉兽，有时也捕食狼、豺等中型食肉兽，以及家畜和家禽。,夷陵区、兴山、五峰。,国家一级重点保护野生动物，CITES未记录，IUCN等级属无危。,李风,https://data.yichang.gov.cn/karma/pic/b71816cb-73ca-4885-98ce-2a9a5e2c2905.jpeg
57,鸟纲,鹰形目,鹰科,白肩雕,Imperial Eagle,成鸟体长70—80cm。体羽黑褐色，头和颈部较淡，肩部有明显的白斑。亚成体头皮黄褐色，背具黄褐色斑点，飞翔时尾常散开成扇形。,主要栖息于中低海拔的山地森林和林缘地带，冬季也在平原和湖泊附近觅食。生性孤僻，喜单独活动，不易见。主要以小型和中型哺乳动物和鸟类为食。,兴山。,"国家一级重点保护野生动物，CITES附录I,IUCN等级属易危。",拍信文创,https://data.yichang.gov.cn/karma/pic/5834ee96-6431-4de4-a1eb-e49c7fcd8b51.jpeg
58,鸟纲,鹰形目,鹰科,黑鸢,Black Kite,成鸟体长30—60cm。浅叉型尾为本种识别特征，飞行时尾张开可成平尾。飞行时初级飞羽基部浅色斑与近黑色的翼尖成对照。头有时比背色浅。虹膜棕色，嘴灰色，蜡膜黄色，脚黄色。,主要以小鸟、鼠类、蛇、蛙、鱼、野兔、蜥蜴和昆虫等动物性食物为食，偶尔也吃家禽和腐尸。常单独在高空飞翔，秋季有时亦成2—3只的小群。飞行快速而有力，性机警，人很难接近，常捕田间害兽，对农林有很大益处。,夷陵区、兴山、秭归、长阳、五峰、宜都、远安、枝江、当阳、宜昌城区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/3cecf988-b4c9-4879-9ea9-26460ab11808.jpeg
59,鸟纲,鹰形目,鹰科,黑冠鹃隼,Black Baza,成鸟体长30cm左右。头顶具有长而垂直竖立的蓝黑色冠羽，极为显著。整体体羽黑色，胸具白色宽纹，翼具白斑，腹部具深栗色横纹。两翼短圆，飞行时可见黑色衬，翼灰而端黑。飞行时振翼如鸦，滑翔时两翼平直。虹膜红色，嘴角质色，蜡膜灰色，脚深灰。,主要以蝗虫、蚱蜢、蝉、蚂蚁等昆虫为食，也特别爱吃蝙蝠，以及鼠类、蜥蜴和蛙等小型脊椎动物。栖息于平原低山丘陵和高山森林地带，也出现于疏林草坡、村庄和林缘田间地带。常单独活动，有时也有3—5只左右的小群活动。性警觉而胆小，但有时也显得迟钝而懒散，头上的羽冠经常忽而高高地耸立，忽而又低低地落下，好像对周围所发生的事情都非常敏感。,长阳、夷陵区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,胡光文,https://data.yichang.gov.cn/karma/pic/41289e6b-0966-4a31-adfd-4d9e34392c81.jpeg
60,鸟纲,鹰形目,鹰科,凤头蜂鹰,Oriental Honey-buzzard,成鸟体长60cm左右。上体由白色至赤褐色至深褐色，下体满布点斑及横纹，尾具不规则横纹。具对比性浅色喉块，缘以浓密的黑色纵纹，并常具黑色中线。飞行时特征为头相对小而颈显长，两翼及尾均狭长。近看时，眼先羽呈鳞状为其特征性。,食蜂蜜、蜂蛹，也捕食小型鼠类和小型爬行类动物及昆虫等。栖息于森林地带，多见单只在林缘活动。飞行具特色，振翼几次后便作长时间滑翔，两翼平伸翱翔高空。有偷袭蜜蜂及黄蜂巢的怪习。,夷陵区、兴山。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,图虫创意,https://data.yichang.gov.cn/karma/pic/7538c92e-1d03-4a1e-a429-d393645f3243.jpeg
61,鸟纲,鹰形目,鹰科,苍鹰,Northern Goshawk,成鸟体长60cm左右。头顶、枕和头侧黑褐色，枕部有白色羽尖，眉纹白色并杂黑纹，背部棕黑色，胸以下密布灰褐色和白色相间横纹。尾灰褐色，有4条宽阔的黑色横斑，尾方形。飞行时，翅下白色，但密布黑褐色横带。雌鸟显著大于雄鸟。,主要以森林鼠类、野兔、雉类、榛鸡、鸠鸽类和其他小型鸟类为食。栖息于不同海拔高度的针叶林、混交林和阔叶林等森林地带，也见于平原和丘陵地带的林地。,夷陵区、兴山。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,王江平,https://data.yichang.gov.cn/karma/pic/645598b3-3a18-414a-96bd-a01cef245be3.jpeg
62,鸟纲,鹰形目,鹰科,凤头鹰,Crested Goshawk,"成鸟体长30—40cm。上体灰褐色，两翼及尾具横斑，下体棕色，胸部具白色纵纹，腹部及大腿白色且具近黑色粗横斑，颈白色，有近黑色纵纹至喉，具两道黑色髭
纹。",以蛙、蜥蜴、鼠类、昆虫等动物性食物为食，也吃鸟类和小型哺乳动物。通常栖息在海拔2000m以下的山地森林和山脚林缘地带，也出现在竹林和小面积丛林地带，偶尔也到山脚平原和村庄附近活动。,夷陵区、兴山、长阳、五峰、宜都、远安、枝江、当阳、宜昌城区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,刘飞,https://data.yichang.gov.cn/karma/pic/84ce873f-4ecd-4b05-b0cc-32bdb10f82a7.jpeg
63,鸟纲,鹰形目,鹰科,赤腹鹰,Chinese Sparrowhawk,成鸟体长20—30cm。上体淡蓝灰色，背部羽尖略具白色，外侧尾羽具不明显黑色横斑。下体白色，胸及两胁略沾粉色，两胁具浅灰色横纹，腿上也略具横纹。成鸟翼下特征为除初级飞羽羽端黑色外，几乎全白色。脚橘黄色。,以蛙、蜥蜴等动物性食物为食，也吃小型鸟类、鼠类和昆虫。栖息于山地森林和林缘地带，也见于低山丘陵和山麓平原地带的小块丛林，有时也见于开阔地带的农田地缘和村庄附近。,夷陵区、枝江、五峰。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/7dcc6d29-6161-4015-95c9-d96c619206b3.jpeg
64,鸟纲,鹰形目,鹰科,松雀鹰,Besra,成鸟体长20—30cm。上体深灰色，尾具粗横斑，下体白色，两胁棕色且具褐色横斑，喉白色而具黑色喉中线，有黑色髭纹。雌鸟及亚成鸟两胁棕色少，下体多具红褐色横斑，背褐色，尾褐色而具深色横纹。亚成鸟胸部具纵纹。,主要捕食鼠类、小鸟、昆虫等动物。栖息于海拔2800m以下的山地针叶林、阔叶林和混交林中，冬季时则会到海拔较低的山区活动。性机警，人很难接近，常单独生活。,夷陵区、兴山、秭归、枝江、当阳、远安、五峰、长阳、宜都、宜昌城区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/68eebae7-f7a8-4379-89c8-1263661281ba.jpeg
65,鸟纲,鹰形目,鹰科,雀鹰,Eurasian Sparrowhawk,成鸟体长30cm左右。雄鸟上体褐灰色，白色的下体上多具棕色横斑，尾具横带。脸颊棕色为识别的特征。雌鸟体型较大，上体褐色，下体白色，胸、腹部及腿上具灰褐色横斑，无喉中线，脸颊棕色较少。,"以鸟、昆虫和鼠类等为食。栖息于针叶林、混交林、阔叶林等山地森林和林缘地带，冬季主要栖息于低山丘陵、山脚平原、农田地边，以及村庄附近，喜欢从栖息处“伏击”,飞行中捕食。飞行能力很强，速度极快，每小时可达数百公里。",夷陵区、宜都、当阳、五峰、兴山、远安、枝江、长阳。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/37031470-9474-4af0-ad7d-7f716804d1e5.jpeg
66,鸟纲,鹰形目,鹰科,普通鵟,Eastern Buzzard,成鸟体长50cm左右。体色变化比较大，通常上体为深红褐色。脸侧皮黄具近红色细纹，栗色髭纹显著。下体偏白色，上具棕色纵纹，两胁及大腿沾棕色。飞行时两翼宽而圆，初级飞羽基部具特征性白色块斑。,以各种鼠类为食，也吃蛙、蜥蜴、蛇、野兔、小鸟和大型昆虫等动物性食物，栖息于山地森林和林缘地带，从海拔400m的山脚阔叶林到2000m左右的混交林和针叶林地带均有分布，有时甚至出现在海拔2000m以上的山顶苔原地带上空。秋冬季节则多出现在低山丘陵和山脚平原地带。,夷陵区、兴山、长阳、五峰、宜都、远安、枝江、当阳、宜昌城区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,舒仁庆,https://data.yichang.gov.cn/karma/pic/703b93ed-d1d9-4c79-90a6-4a71c48c4fe8.jpeg
67,鸟纲,鹰形目,鹰科,大鵟,Upland Buzzard,成鸟体长60—70cm。有淡色型、暗色型和中间型等几种类型，其中以淡色型较为常见。淡色型具深棕色的翼缘。尾常为褐色而非棕色，尖端灰白色。跗跖前端通常被有羽毛。,以啮齿动物、蛙、蜥蜴、野兔、蛇、黄鼠、鼠兔、旱獭、雉鸡、石鸡、昆虫等动物性食物为食。栖息于山地、山脚平原和草原等地区，也出现在高山林缘和开阔的山地草原与荒漠地带，垂直分布高度可以达到4000m以上的高原和山区。冬季也常出现在低山丘陵和山脚平原地带的农田、芦苇沼泽、村庄，甚至城市附近。,历史文献记载，无野外观测记录。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,图虫创意,https://data.yichang.gov.cn/karma/pic/d8281db9-1fea-46ee-afe2-516d750f341a.jpeg
68,鸟纲,鹰形目,鹰科,白腹隼雕,Bonelli's Eagle,成鸟体长50—60cm。上体褐色，下体白色，具有黑色细纵纹。翅膀圆而狭长，尖端黑色，翼下飞羽中段浅色，具有黑色横纹，翼下覆羽黑褐色，尾羽较长，羽端斑白色，次端具一条宽的黑色横带。虹膜淡褐色；喙灰蓝色，尖端部黑色；脚黄色。,栖息于中低海拔的山地森林和河谷地带，迁徙和越冬期亦可出现在海岸线、沼泽和荒漠上。多单独或成对活动，较少时间翱翔于天空，喜低空飞行。主要以两栖爬行动物、小型哺乳动物和鸟类为食。,夷陵区。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/ea333f88-dc8c-4738-9012-b108a13a7d66.jpeg
69,鸟纲,鹰形目,鹰科,乌灰鹞,Montagu's Harrier,成鸟体长60—70cm。雄性上体、喉部至上胸暗灰色。下体白色，具有棕色纵纹。翅亦为棕色，初级飞羽末端黑色，翅上有一黑色横带，翅下有两条黑色横带，飞行时十分明显。雌鸟褐色，尾上覆羽白色，与白尾鹞和草原鹞的雌鸟极为相似，但体型比前者纤细，领环比后者色浅。虹膜黄色，喙角质黄色，脚黄色。,以啮齿动物，蛙、蜥蜴、野兔、蛇、黄鼠、鼠兔、旱獭、雉鸡、石鸡、昆虫等动物性食物为食。栖息于山地、山脚平原和草原等地区，也出现在高山林缘和开阔的山地草原与荒漠地带，垂直分布高度可以达到4000m以上的高原和山区。冬季也常出现在低山丘陵和山脚平原地带的农田、芦苇沼泽、村庄、甚至城市附近。,历史文献记载，无野外观测记录。,国家二级重点保护野生动物，CITES未记录，IUCN等级属无危。,拍信文创,https://data.yichang.gov.cn/karma/pic/e3bebee6-1448-434e-beca-bc3b4ec2ac3f.jpeg
