xh,jgmc,zzjgdm,jjlx,wsjglb,jgflgl,sfggwsjg,xzqh
311,远安张思祥中医诊所,PDY00004H,民营,诊所类,营利性医疗机构,,远安县
312,远安博菲特口腔诊所,MA48QXPC0,民营,诊所类,营利性医疗机构,,远安县
313,远安栖灵凤诊所,MA4EDHY6X,民营,诊所类,营利性医疗机构,,远安县
314,远安县茅坪场镇晓坪为民诊所,MA4A156L2,民营,诊所类,营利性医疗机构,,远安县
315,远安鸣凤安泰诊所,MA4BQ0CB2,民营,诊所类,营利性医疗机构,,远安县
316,远安鸣凤利君口腔诊所,MA4B2RCA7,民营,诊所类,营利性医疗机构,,远安县
317,远安长坂坡诊所,MA4DJBPGX,民营,诊所类,营利性医疗机构,,远安县
318,益健诊所,MA4DXEEA5,民营,诊所类,营利性医疗机构,,远安县
319,远安曾庆初诊所,MA4EG7NT7,民营,诊所类,营利性医疗机构,,远安县
320,远安洋坪宜康诊所,MA4BQ2HC8,民营,诊所类,营利性医疗机构,,远安县
321,远安鸣凤车友文中医诊所,MA4A5WXLX,民营,诊所类,营利性医疗机构,,远安县
322,远安县鸣凤镇泰安诊所,PDY00177H,民营,诊所类,营利性医疗机构,,远安县
323,远安悦牙口腔诊所,PDY978552,民营,诊所类,营利性医疗机构,,远安县
324,鑫旺诊所,MA4DT84P6,民营,诊所类,营利性医疗机构,,远安县
325,远安河口李小英中医诊所,MA4B27H61,民营,诊所类,营利性医疗机构,,远安县
326,远安县鸣凤镇郭氏口腔诊所,MA4B0MRL8,民营,诊所类,营利性医疗机构,,远安县
327,远安鸣凤李云痔疮诊所,MA49UUMR9,民营,诊所类,营利性医疗机构,,远安县
328,远安王居东诊所,MA4B0EK77,民营,诊所类,营利性医疗机构,,远安县
329,远安左其华中医诊所,42052512D,民营,诊所类,营利性医疗机构,,远安县
330,远安鸣凤望氏中医诊所,MA4B0WTD2,民营,诊所类,营利性医疗机构,,远安县
331,远安鸣凤万民中医诊所,MA4B25UMX,民营,诊所类,营利性医疗机构,,远安县
332,远安喜牙牙口腔诊所,420069270,民营,诊所类,营利性医疗机构,,远安县
333,远安洋坪中正街诊所,MA4AGRKG2,民营,诊所类,营利性医疗机构,,远安县
334,远安洋坪济生中医诊所,MA4BTU565,民营,诊所类,营利性医疗机构,,远安县
335,远安县鸣凤镇健齿口腔诊所,MA4B1P294,民营,诊所类,营利性医疗机构,,远安县
336,远安鸣凤泓远诊所,MA4B0RAG2,民营,诊所类,营利性医疗机构,,远安县
337,远安陈卫民诊所,MACC1KDC0,民营,诊所类,营利性医疗机构,,远安县
338,远安德裕诊所,MABLK0DP2,民营,诊所类,营利性医疗机构,,远安县
339,远安奥美口腔鹏程时代店,PDY00706H,民营,诊所类,营利性医疗机构,,远安县
340,远安济仁诊所,MA4DKFTQ7,民营,诊所类,营利性医疗机构,,远安县
341,远安旧县康宁诊所,MA4B1RX70,民营,诊所类,营利性医疗机构,,远安县
342,远安花林寺长永诊所,MA4ACTTR3,民营,诊所类,营利性医疗机构,,远安县
343,远安花林寺便民诊所,MA4AHKN82,民营,诊所类,营利性医疗机构,,远安县
344,宜昌恒瑞医药有限责任公司怡康诊所,MA48CTRAX,民营,诊所类,营利性医疗机构,,远安县
345,远安鸣凤陈克全口腔诊所,MA48R0DL3,民营,诊所类,营利性医疗机构,,远安县
346,远安福安康诊所,MA4DF7RD5,民营,诊所类,营利性医疗机构,,远安县
347,远安夕阳红托老护理中心医务室,PDY978560,民营,诊所类,营利性医疗机构,,远安县
348,远安嫘祖康民口腔诊所,MA4DXKDP8,民营,诊所类,营利性医疗机构,,远安县
349,远安洋坪民康诊所,MA4B0J1X2,民营,诊所类,营利性医疗机构,,远安县
350,远安县旧县镇民富康诊所,MA4B28KUX,民营,诊所类,营利性医疗机构,,远安县
351,远安鸣凤凤山风景区诊所,MA4B1R572,民营,诊所类,营利性医疗机构,,远安县
352,远安美牙口腔诊所,MAC1RXGY7,民营,诊所类,营利性医疗机构,,远安县
353,远安县鸣凤镇城南诊所,MA4B1GMA5,民营,诊所类,营利性医疗机构,,远安县
354,远安杜应法诊所,MA48QW940,民营,诊所类,营利性医疗机构,,远安县
355,远安鸣凤盘古诊所,MA4B1MM0X,民营,诊所类,营利性医疗机构,,远安县
356,远安星河诊所,MA4BTLCB6,民营,诊所类,营利性医疗机构,,远安县
357,远安花林寺谭氏民福康诊所,MA4B19XF7,民营,诊所类,营利性医疗机构,,远安县
358,徐教会诊所,MA49U05Y6,民营,诊所类,营利性医疗机构,,远安县
359,远安城南仁和诊所,MA4EHYN33,民营,诊所类,营利性医疗机构,,远安县
360,正源堂儿科诊所,MA4DKCGMX,民营,诊所类,营利性医疗机构,,远安县
361,远安福康便民中医诊所,PDY978595,民营,诊所类,营利性医疗机构,,远安县
362,远安奥美口腔门诊部,MA4F05PU6,民营,诊所类,营利性医疗机构,,远安县
363,远安瑞元堂诊所,MADMXGWH7,民营,诊所类,营利性医疗机构,,远安县
364,奥美口腔诊所,MA4DBYH07,民营,诊所类,营利性医疗机构,,远安县
365,远安车家东中医诊所,PDY978587,民营,诊所类,营利性医疗机构,,远安县
366,远安达康诊所,MA4EK6BP7,民营,诊所类,营利性医疗机构,,远安县
367,兴山县疾病控制中心门诊部,PDY813117,公立,诊所类,非营利性医疗机构,,兴山县
368,兴山县人民医院驻兴山县看守所卫生所,PDY813176,公立,诊所类,非营利性医疗机构,,兴山县
369,兴山县昭君镇兴发集团白沙河医务室,PDY260129,公立,诊所类,非营利性医疗机构,,兴山县
370,兴山县中医医院古夫门诊部,442052611,公立,诊所类,非营利性医疗机构,,兴山县
371,兴山县峡口镇兴发化工集团刘草坡医务室,PDY260030,公立,诊所类,非营利性医疗机构,,兴山县
372,昭君村景区中医馆,PDY813125,民营,诊所类,营利性医疗机构,,兴山县
373,康靓口腔昭君诊所,PDY81315X,民营,诊所类,营利性医疗机构,,兴山县
374,兴山古夫秦中举诊所,739136416,民营,诊所类,营利性医疗机构,,兴山县
375,古夫马宗梅中医诊所,739159124,民营,诊所类,营利性医疗机构,,兴山县
376,鑫鸿诊所,739136272,民营,诊所类,营利性医疗机构,,兴山县
377,兴山方绍福中医诊所,PDY813184,民营,诊所类,营利性医疗机构,,兴山县
378,云栖谷诊所,PDY813336,民营,诊所类,营利性医疗机构,,兴山县
379,兴山古夫张立娥诊所,L01807968,民营,诊所类,营利性医疗机构,,兴山县
380,兴山古夫王祥铸中医诊所,739136029,民营,诊所类,营利性医疗机构,,兴山县
381,兴山古夫尹炬炬口腔诊所,66768659X,民营,诊所类,营利性医疗机构,,兴山县
382,古夫温学堂诊所,L04180494,民营,诊所类,营利性医疗机构,,兴山县
383,兴山马峥义诊所,420052931,民营,诊所类,营利性医疗机构,,兴山县
384,榛子官兴清中医诊所,739136088,民营,诊所类,营利性医疗机构,,兴山县
385,兴山王菊纲诊所,739138921,民营,诊所类,营利性医疗机构,,兴山县
386,中贤诊所,PDY813037,民营,诊所类,营利性医疗机构,,兴山县
387,兴山古夫能圣诊所,L04180523,民营,诊所类,营利性医疗机构,,兴山县
388,兴山德福堂诊所,PDY813141,民营,诊所类,营利性医疗机构,,兴山县
389,兴山曹一堂诊所,MA4D7CFF5,民营,诊所类,营利性医疗机构,,兴山县
390,兴山古夫李咏康中医诊所,MA4CG4D9X,民营,诊所类,营利性医疗机构,,兴山县
391,兴山县王祖红诊所,PDY813299,民营,诊所类,营利性医疗机构,,兴山县
392,兴山刘远端中医诊所,PDY81331X,民营,诊所类,营利性医疗机构,,兴山县
393,兴山弘仁康复医院有限公司古夫诊所,7391363X1,民营,诊所类,营利性医疗机构,,兴山县
394,兴山古夫袁显文诊所,L01819483,民营,诊所类,营利性医疗机构,,兴山县
395,兴山蔡德春诊所,764121806,民营,诊所类,营利性医疗机构,,兴山县
396,兴山古夫李述贤诊所,PDY813029,民营,诊所类,营利性医疗机构,,兴山县
397,怡安堂诊所,739136387,民营,诊所类,营利性医疗机构,,兴山县
398,兴山李方程诊所,L01810972,民营,诊所类,营利性医疗机构,,兴山县
399,宜昌迈升商业发展有限公司甫生堂诊所,PDY813168,民营,诊所类,营利性医疗机构,,兴山县
400,兴山袁志才眼科诊所,PDY813344,民营,诊所类,营利性医疗机构,,兴山县
401,兴山古夫肖红口腔诊所,764136995,民营,诊所类,营利性医疗机构,,兴山县
402,兴山峡口镇向兴华中医诊所,L08346914,民营,诊所类,营利性医疗机构,,兴山县
403,兴山峡口孙宜玺中医诊所,739138147,民营,诊所类,营利性医疗机构,,兴山县
404,兴山古夫吴开琼诊所,73913607X,民营,诊所类,营利性医疗机构,,兴山县
405,古夫吴淑林中医诊所,PDY813045,民营,诊所类,营利性医疗机构,,兴山县
406,惠怡诊所,L13631066,民营,诊所类,营利性医疗机构,,兴山县
407,兴山张氏德仁中医馆,739136328,民营,诊所类,营利性医疗机构,,兴山县
408,兴山古夫李瑞林诊所,747685458,民营,诊所类,营利性医疗机构,,兴山县
409,兴山古夫张厚钰诊所,L04180486,民营,诊所类,营利性医疗机构,,兴山县
410,康靓口腔诊所,PDY812966,民营,诊所类,营利性医疗机构,,兴山县
411,兴山古夫万忠艳诊所,739138075,民营,诊所类,营利性医疗机构,,兴山县
412,兴山弘仁康复医院有限公司后河中医诊所,PDY813133,民营,诊所类,营利性医疗机构,,兴山县
413,兴山济安堂诊所,PDY813061,民营,诊所类,营利性医疗机构,,兴山县
414,古夫邬祥钧诊所,L04181307,民营,诊所类,营利性医疗机构,,兴山县
415,宜昌弘仁疗养有限公司张家坎诊所,PDY813328,民营,诊所类,营利性医疗机构,,兴山县
416,古夫黄显辉中医诊所,739144010,民营,诊所类,营利性医疗机构,,兴山县
417,湖北鸿铖医疗科技有限公司古夫诊所,739138139,民营,诊所类,营利性医疗机构,,兴山县
418,兴山古夫温学行中医诊所,739138083,民营,诊所类,营利性医疗机构,,兴山县
419,兴山弘仁康复医院有限公司永安路诊所,PDY813088,民营,诊所类,营利性医疗机构,,兴山县
420,兴山黄英娥诊所,739145937,民营,诊所类,非营利性医疗机构,,兴山县
421,兴山彭安凤诊所,L0418046X,民营,诊所类,营利性医疗机构,,兴山县
422,湖北口佳医疗投资管理有限责任公司牙牙乐口腔诊所,PDY812931,民营,诊所类,营利性医疗机构,,兴山县
423,兴山古夫司念清中医诊所,PDY812974,民营,诊所类,营利性医疗机构,,兴山县
424,康靓口腔榛子诊所,PDY81307X,民营,诊所类,非营利性医疗机构,,兴山县
425,秭归实验小学卫生保健所,PDY923447,公立,诊所类,非营利性医疗机构,,秭归县
426,秭归职教中心卫生保健所,PDY923463,公立,诊所类,非营利性医疗机构,,秭归县
427,秭归县第一实验中学卫生保健所,PDA27MB1A,公立,诊所类,非营利性医疗机构,,秭归县
428,秭归县三峡工程希望小学卫生保健所,PDY000351,公立,诊所类,非营利性医疗机构,,秭归县
429,秭归一中卫生保健所,PDY923367,公立,诊所类,非营利性医疗机构,,秭归县
430,秭归县第四幼儿园卫生保健所,PDY02355A,公立,诊所类,非营利性医疗机构,,秭归县
431,秭归县直机关幼儿园卫生保健所,PDY923420,公立,诊所类,非营利性医疗机构,,秭归县
432,秭归实验中学卫生保健所,PDY923471,公立,诊所类,非营利性医疗机构,,秭归县
433,湖北秭归经济开发区小学卫生保健所,PDY01336P,公立,诊所类,非营利性医疗机构,,秭归县
434,秭归二中卫生保健所,PDY923375,公立,诊所类,非营利性医疗机构,,秭归县
435,秭归县第二实验中学卫生保健所,PDY27F860,公立,诊所类,非营利性医疗机构,,秭归县
436,秭归县第二实验小学卫生保健所,PDY000380,公立,诊所类,非营利性医疗机构,,秭归县
437,驻香港部队秭归希望小学卫生保健所,PDY000360,公立,诊所类,非营利性医疗机构,,秭归县
438,秭归县特殊教育学校卫生保健所,PDY000485,公立,诊所类,非营利性医疗机构,,秭归县
439,秭归县第二幼儿园卫生保健所,PDY02355X,公立,诊所类,非营利性医疗机构,,秭归县
440,秭归县疾控中心门诊部,PDY000304,公立,诊所类,非营利性医疗机构,,秭归县
441,秭归县九畹溪镇卫生院芝兰门诊部,PDY124205,公立,诊所类,非营利性医疗机构,,秭归县
442,秭归县郭家坝镇中心卫生院文化门诊部,PDY000467,公立,诊所类,非营利性医疗机构,,秭归县
443,秭归县中医医院驻秭归县看守所医务室,PDY000126,公立,诊所类,非营利性医疗机构,,秭归县
444,秭归县第一实验小学卫生保健所,PDY72670W,公立,诊所类,非营利性医疗机构,,秭归县
445,秭归县屈原镇卫生院三闾门诊部,PDY000042,公立,诊所类,非营利性医疗机构,,秭归县
446,秭归县健颐门诊部,PDA27MA4E,民营,诊所类,营利性医疗机构,,秭归县
447,秭归县茅坪镇爱莲堂诊所,PYD124876,民营,诊所类,营利性医疗机构,,秭归县
448,秭归县江朝清中医诊所,PDA27MA7H,民营,诊所类,营利性医疗机构,,秭归县
449,秭归县橘源门诊部,PDAC0PM1R,民营,诊所类,营利性医疗机构,,秭归县
450,秭归县茅坪镇望闻阁诊所,PDY000466,民营,诊所类,营利性医疗机构,,秭归县
451,秭归县颜康中医诊所,PDY27MA7H,民营,诊所类,营利性医疗机构,,秭归县
452,秭归县何啻牙科,PDY923412,民营,诊所类,营利性医疗机构,,秭归县
453,秭归县郭家坝镇文化村金溪口卫生室,POY000149,民营,诊所类,营利性医疗机构,,秭归县
454,秭归县茅坪镇桔颂居委会卫生室,PDY000536,民营,诊所类,营利性医疗机构,,秭归县
455,秭归贝格医疗管理有限公司金缸城口腔诊所,PYD176842,民营,诊所类,营利性医疗机构,,秭归县
456,秭归县郭家坝镇袁学强诊所,PYD123931,民营,诊所类,营利性医疗机构,,秭归县
457,秭归县清康西医诊所,PDYAC20DJ,民营,诊所类,营利性医疗机构,,秭归县
458,茅坪镇仁康诊所,PDY273341,民营,诊所类,营利性医疗机构,,秭归县
459,茅坪镇胡兆君诊所,PDY279380,民营,诊所类,非营利性医疗机构,,秭归县
460,秭归县健辰诊所,PDY27MA48,民营,诊所类,营利性医疗机构,,秭归县
461,秭归县茅坪镇德康诊所,PDAA4B1XK,民营,诊所类,营利性医疗机构,,秭归县
462,秭归县仲景堂诊所,PDY9QD65R,民营,诊所类,营利性医疗机构,,秭归县
463,秭归县茅坪镇陌上寻诊所,PDAQ0BN5T,民营,诊所类,营利性医疗机构,,秭归县
464,秭归县茅坪镇西楚居委会卫生室,PDY000523,民营,诊所类,营利性医疗机构,,秭归县
465,秭归县茅坪镇滨湖居委会卫生室,PDY000287,民营,诊所类,营利性医疗机构,,秭归县
466,沙镇溪顺昌牙科,PDY923359,民营,诊所类,营利性医疗机构,,秭归县
467,秭归县长宁诊所,PDY270554,民营,诊所类,营利性医疗机构,,秭归县
468,秭归县智轩诊所,PDYA4DUEN,民营,诊所类,营利性医疗机构,,秭归县
469,秭归县茅坪镇王功良诊所,PDABJT93L,民营,诊所类,营利性医疗机构,,秭归县
470,秭归县友康诊所,PDY7MA4DU,民营,诊所类,营利性医疗机构,,秭归县
471,秭归县丁香园诊所,PDY27MA4E,民营,诊所类,营利性医疗机构,,秭归县
472,秭归县茅坪镇济世堂诊所,PYD147963,民营,诊所类,营利性医疗机构,,秭归县
473,秭归县瑞云中医诊所,PDYA4EQFY,民营,诊所类,营利性医疗机构,,秭归县
474,秭归县茅坪镇青龙嘴卫生室,PDY000289,民营,诊所类,营利性医疗机构,,秭归县
475,秭归县爱牙口腔诊所,A4EDJ755L,民营,诊所类,营利性医疗机构,,秭归县
476,秭归县郭家坝镇西坡村贯垭卫生室,PDY000258,民营,诊所类,营利性医疗机构,,秭归县
477,秭归县杨林桥镇宁德诊所,PDYA4D38Y,民营,诊所类,营利性医疗机构,,秭归县
478,秭归县回春堂诊所,PDY3AN988,民营,诊所类,营利性医疗机构,,秭归县
479,秭归县茅坪镇素沁诊所,PDAA4DG89,民营,诊所类,营利性医疗机构,,秭归县
480,秭归县茅坪镇叶尔兰口腔诊所,PDY914205,民营,诊所类,营利性医疗机构,,秭归县
481,秭归县传承诊所,PDYA4C0LY,民营,诊所类,营利性医疗机构,,秭归县
482,秭归县杏林园中医诊所,PDA27MA49,民营,诊所类,营利性医疗机构,,秭归县
483,秭归县茅坪镇银杏沱村曲溪卫生室,PDY000247,民营,诊所类,营利性医疗机构,,秭归县
484,秭归县磨坪乡栀子诊所,PDY000213,民营,诊所类,营利性医疗机构,,秭归县
485,秭归县兆祥西医诊所,PDYAC5350,民营,诊所类,营利性医疗机构,,秭归县
486,秭归县马学懂诊所,PDA03TK1C,民营,诊所类,营利性医疗机构,,秭归县
487,秭归县橙悦口腔诊所,PDY27MA4D,民营,诊所类,营利性医疗机构,,秭归县
488,秭归县悦康诊所,PDA1MJB0T,民营,诊所类,营利性医疗机构,,秭归县
489,秭归县德馨诊所,PDY27MA4B,民营,诊所类,营利性医疗机构,,秭归县
490,秭归县健华诊所,PDY48TT85,民营,诊所类,营利性医疗机构,,秭归县
491,秭归县奇草苑诊所,PDA27MA4C,民营,诊所类,营利性医疗机构,,秭归县
492,秭归县万成彬口腔诊所,PDY924205,民营,诊所类,营利性医疗机构,,秭归县
493,秭归县华新水泥有限公司医务室,PDY000259,民营,诊所类,营利性医疗机构,,秭归县
494,秭归县普济诊所,PYD123458,民营,诊所类,营利性医疗机构,,秭归县
495,宜昌秭归视佳医眼科诊所,PDY27MA49,民营,诊所类,营利性医疗机构,,秭归县
496,秭归县茅坪镇东健诊所,PDA27MA4B,民营,诊所类,营利性医疗机构,,秭归县
497,秭归县茅坪镇喜来康诊所,PDY19LF0K,民营,诊所类,营利性医疗机构,,秭归县
498,秭归县娴舒苑诊所,PDYKQQW0W,民营,诊所类,营利性医疗机构,,秭归县
499,秭归县红绿灯中西医诊所,PDY000040,民营,诊所类,营利性医疗机构,,秭归县
500,秭归县郭家坝镇郭家坝村袁家冲卫生室,PDY000231,民营,诊所类,营利性医疗机构,,秭归县
501,秭归县文康中医门诊诊所,PDYABYR3C,民营,诊所类,营利性医疗机构,,秭归县
502,秭归县方书中西医门诊诊所,PDYAC20HB,民营,诊所类,营利性医疗机构,,秭归县
503,秭归县智全诊所,PDA000482,民营,诊所类,营利性医疗机构,,秭归县
504,秭归县博爱诊所,PDY270546,民营,诊所类,营利性医疗机构,,秭归县
505,秭归县承脉诊所,PDY27MA4C,民营,诊所类,营利性医疗机构,,秭归县
506,秭归县杰隆口腔诊所,PDY923404,民营,诊所类,营利性医疗机构,,秭归县
507,秭归县茅坪镇书香诊所,PDA5PLN2P,民营,诊所类,营利性医疗机构,,秭归县
508,秭归县康齿泰口腔诊所,PDY923519,民营,诊所类,营利性医疗机构,,秭归县
509,秭归县御康馆诊所,PYD125871,民营,诊所类,营利性医疗机构,,秭归县
510,秭归县茅坪镇傅永华诊所,PDY000009,民营,诊所类,营利性医疗机构,,秭归县
511,秭归县志橙口腔诊所,PDY7MA7FL,民营,诊所类,营利性医疗机构,,秭归县
512,秭归县福利院医务室,PDY000246,民营,诊所类,营利性医疗机构,,秭归县
513,秭归县乔国民诊所,PYD125879,民营,诊所类,营利性医疗机构,,秭归县
514,秭归县新顺昌牙科诊所,PYD129875,民营,诊所类,营利性医疗机构,,秭归县
515,秭归县济善乐中医诊所,PYD159753,民营,诊所类,营利性医疗机构,,秭归县
516,茅坪镇九里村劳动街卫生室,PDY000786,民营,诊所类,营利性医疗机构,,秭归县
517,秭归县天仁诊所,PDY000271,民营,诊所类,营利性医疗机构,,秭归县
518,秭归县梅鹏中医诊所,PDA27MA4D,民营,诊所类,营利性医疗机构,,秭归县
519,秭归县茅坪镇健慈诊所,PDA27MA48,民营,诊所类,营利性医疗机构,,秭归县
520,秭归县康禧中医诊所,PDYCRTQ3Q,民营,诊所类,营利性医疗机构,,秭归县
521,秭归县茅坪镇国源诊所,PDA27MA4A,民营,诊所类,营利性医疗机构,,秭归县
522,秭归县楚健诊所,PDY923455,民营,诊所类,营利性医疗机构,,秭归县
523,秭归县歧轩中医诊所,PDY923500,民营,诊所类,营利性医疗机构,,秭归县
524,秭归县水田坝乡马营诊所,PYD128746,民营,诊所类,营利性医疗机构,,秭归县
525,长阳清江画廊风景区医务室,PDY301592,公立,诊所类,非营利性医疗机构,,长阳县
526,长阳龙舟坪中心幼儿园卫生室,PDY301605,公立,诊所类,非营利性医疗机构,,长阳县
527,长阳实验小学卫生室,PDY301226,公立,诊所类,非营利性医疗机构,,长阳县
528,长阳第二幼儿园卫生室,PDY293190,公立,诊所类,非营利性医疗机构,,长阳县
529,长阳土家族自治县疾病预防控制中心门诊部,PDY302093,公立,诊所类,非营利性医疗机构,,长阳县
530,长阳张茂忠中医诊所,PDY301250,民营,诊所类,非营利性医疗机构,,长阳县
531,长阳榔坪镇蒋家湾电站医务室,PDY302210,民营,诊所类,非营利性医疗机构,,长阳县
532,长阳津洋口幼儿园卫生室,PDY301824,民营,诊所类,非营利性医疗机构,,长阳县
533,长阳龙舟坪中学卫生室,PDY302202,公立,诊所类,非营利性医疗机构,,长阳县
534,长阳特殊教育学校卫生室,PDY301904,公立,诊所类,营利性医疗机构,,长阳县
535,长阳第二高级中学卫生室,PDY301816,公立,诊所类,非营利性医疗机构,,长阳县
536,长阳县第一高级中学卫生室,PDY301859,公立,诊所类,非营利性医疗机构,,长阳县
537,长阳龙舟坪小学卫生室,PDY282512,公立,诊所类,非营利性医疗机构,,长阳县
538,长阳职教中心卫生室,PDY301840,公立,诊所类,非营利性医疗机构,,长阳县
539,长阳津洋口小学卫生室,PDY301832,公立,诊所类,营利性医疗机构,,长阳县
540,长阳津洋口初级中学卫生室,PDY301867,公立,诊所类,非营利性医疗机构,,长阳县
541,长阳县第一幼儿园卫生室,PDY301875,公立,诊所类,非营利性医疗机构,,长阳县
542,长阳乐龄养老服务有限公司医务室,PDY302085,民营,诊所类,非营利性医疗机构,,长阳县
543,长阳广民诊所,PDY280621,民营,诊所类,营利性医疗机构,,长阳县
544,长阳保芝林康民诊所,PDY280832,民营,诊所类,营利性医疗机构,,长阳县
545,长阳百草堂诊所,PDY280875,民营,诊所类,营利性医疗机构,,长阳县
546,长阳本草堂中医诊所,PDY301584,民营,诊所类,营利性医疗机构,,长阳县
547,长阳宝康林诊所,PDY280613,民营,诊所类,营利性医疗机构,,长阳县
548,长阳县吕正勋诊所,PDY287081,民营,诊所类,营利性医疗机构,,长阳县
549,长阳弘德诊所,PDY280728,民营,诊所类,营利性医疗机构,,长阳县
550,长阳杏林堂中医诊所,PDY280541,民营,诊所类,营利性医疗机构,,长阳县
551,长阳益善堂诊所,PDY301736,民营,诊所类,营利性医疗机构,,长阳县
552,长阳爱明口腔诊所,PDY280859,民营,诊所类,营利性医疗机构,,长阳县
553,长阳健安中医诊所,PDY301920,民营,诊所类,营利性医疗机构,,长阳县
554,长阳四和诊所,PDY302237,民营,诊所类,营利性医疗机构,,长阳县
555,长阳杨阿晶口腔诊所,PDY280680,民营,诊所类,营利性医疗机构,,长阳县
556,长阳五零五中医诊所,PDY283611,民营,诊所类,营利性医疗机构,,长阳县
557,长阳养心堂诊所,PDY301613,民营,诊所类,非营利性医疗机构,,长阳县
558,长阳皮厚炎中医诊所,PDY280648,民营,诊所类,营利性医疗机构,,长阳县
559,长阳济生诊所,PDY280920,民营,诊所类,营利性医疗机构,,长阳县
560,长阳龙舟坪宏远口腔诊所,PDY301656,民营,诊所类,营利性医疗机构,,长阳县
561,长阳福民诊所,PDY301779,民营,诊所类,营利性医疗机构,,长阳县
562,长阳仁春堂为民诊所,PDY302229,民营,诊所类,营利性医疗机构,,长阳县
563,长阳杨明德康复诊所,PDY280883,民营,诊所类,营利性医疗机构,,长阳县
564,长阳海云口腔诊所,PDY301787,民营,诊所类,营利性医疗机构,,长阳县
565,长阳龙舟坪紫隆诊所,PDY301269,民营,诊所类,营利性医疗机构,,长阳县
566,长阳龙舟坪大诚诊所,PDY301699,民营,诊所类,营利性医疗机构,,长阳县
567,长阳福顺诊所,PDY301883,民营,诊所类,营利性医疗机构,,长阳县
568,长阳永艾诊所,PDY280752,民营,诊所类,营利性医疗机构,,长阳县
569,长阳资丘小学卫生室,PDY285561,民营,诊所类,非营利性医疗机构,,长阳县
570,长阳厚朴中医诊所,PDY280795,民营,诊所类,营利性医疗机构,,长阳县
571,长阳聚和堂中医诊所,PDY280787,民营,诊所类,营利性医疗机构,,长阳县
572,长阳圣济诊所,PDY280736,民营,诊所类,营利性医疗机构,,长阳县
573,长阳爱齿口腔诊所,PDY301808,民营,诊所类,营利性医疗机构,,长阳县
574,长阳高家堰辅仁中医诊所,PDY301357,民营,诊所类,营利性医疗机构,,长阳县
575,长阳永悦诊所,PDY301912,民营,诊所类,营利性医疗机构,,长阳县
576,长阳同笑堂中医诊所,PDY301672,民营,诊所类,营利性医疗机构,,长阳县
577,长阳秦勇中医诊所,PDY280568,民营,诊所类,营利性医疗机构,,长阳县
578,长阳远志诊所,PDY280592,民营,诊所类,营利性医疗机构,,长阳县
579,长阳郑超牙科诊所,PDY301752,民营,诊所类,营利性医疗机构,,长阳县
580,长阳合汇诊所,PDY301701,民营,诊所类,营利性医疗机构,,长阳县
581,长阳何贤玉诊所,PDY301744,民营,诊所类,营利性医疗机构,,长阳县
582,长阳卢志仕口腔诊所,PDY301795,民营,诊所类,营利性医疗机构,,长阳县
583,长阳同泰诊所,PDY280664,民营,诊所类,营利性医疗机构,,长阳县
584,长阳宝芝林惠民诊所,PDY285545,民营,诊所类,营利性医疗机构,,长阳县
585,长阳龙舟坪天成中医诊所,PDY280760,民营,诊所类,营利性医疗机构,,长阳县
586,长阳一笑堂中医诊所,PDY301680,民营,诊所类,营利性医疗机构,,长阳县
587,长阳亮洁口腔诊所,PDY301760,民营,诊所类,营利性医疗机构,,长阳县
588,长阳李盈灯诊所,PDY288930,民营,诊所类,营利性医疗机构,,长阳县
589,长阳龙津张氏中医诊所,PDY301664,民营,诊所类,营利性医疗机构,,长阳县
590,长阳县廖昌荣中医诊所,PDY301242,民营,诊所类,非营利性医疗机构,,长阳县
591,长阳保和堂中医诊所,PDY28071X,民营,诊所类,营利性医疗机构,,长阳县
592,长阳舒康诊所,PDY28709X,民营,诊所类,营利性医疗机构,,长阳县
593,长阳李永成中医诊所,PDY280808,民营,诊所类,营利性医疗机构,,长阳县
594,长阳星城中医诊所,PDY280891,民营,诊所类,营利性医疗机构,,长阳县
595,长阳民众诊所,PDY301576,民营,诊所类,营利性医疗机构,,长阳县
596,长阳宝芝林诊所,PDY30171X,民营,诊所类,营利性医疗机构,,长阳县
597,长阳平康诊所,PDY280904,民营,诊所类,营利性医疗机构,,长阳县
598,长阳爱欣诊所,PDY301728,民营,诊所类,营利性医疗机构,,长阳县
599,长阳刘美成中医诊所,PDY301234,民营,诊所类,营利性医疗机构,,长阳县
600,长阳宏康诊所,PDY280840,民营,诊所类,营利性医疗机构,,长阳县
601,长阳县石滚淌天主教爱国会诊所,PDY282520,民营,诊所类,营利性医疗机构,,长阳县
602,长阳夕阳红老年公寓医务室,PDY28063X,民营,诊所类,营利性医疗机构,,长阳县
603,长阳爱民口腔诊所,PDY280656,民营,诊所类,营利性医疗机构,,长阳县
604,长阳邓辉德诊所,PDY301621,民营,诊所类,营利性医疗机构,,长阳县
605,长阳火烧坪田菊花西医诊所,PDY280912,民营,诊所类,营利性医疗机构,,长阳县
606,长阳福笑堂中医诊所,PDY30163X,民营,诊所类,营利性医疗机构,,长阳县
607,五峰土家族自治县人民医院工业园区门诊部,PDY303088,公立,诊所类,非营利性医疗机构,,五峰县
608,五峰土家族自治县人民医院康复门诊部,PDY295233,公立,诊所类,非营利性医疗机构,,五峰县
609,五峰土家族自治县人民医院驻看守所医务室,PDY295313,公立,诊所类,非营利性医疗机构,,五峰县
610,五峰土家族自治县疾病预防控制中心门诊部,PDY295217,公立,诊所类,非营利性医疗机构,,五峰县
