xh,xsq,dwmc,fwlx,xxdz,lxdh,gzsj
128,五峰县,牛庄乡卫生院,儿童、成人接种；狂犬病暴露处置,五峰县牛庄乡牛庄村一组,0717-5754120,儿童、成人接种周一至周五上午8：00--12：00下午14：30--17：30。 狂犬病暴露处置周一至周日24h
129,五峰县,傅家堰乡卫生院,儿童、成人接种；狂犬病暴露处置,傅家堰乡上街56号,"0717-5731042
18672667129",儿童、成人接种周一至周五上午8：00--12：00下午14：30--17：30。狂犬病暴露处置周一至周日24h
130,五峰县,采花中心卫生院,儿童、成人接种；狂犬病暴露处置,采花乡长茂司村一组,0717-5761400,儿童、成人接种周一至周五上午8：00--12：00下午14：30--17：30。狂犬病暴露处置周一至周日24h
131,五峰县,渔洋关镇卫生院,儿童、成人；狂犬病暴露处置,渔洋关镇幸福大道63号,0717-5756726,儿童、成人接种周一至周五上午8：30--12：00下午14：00--17：30 。狂犬病暴露处置周一至周日24h
132,五峰县,湾潭中心卫生院,儿童、成人接种；狂犬病暴露处置,湾潭镇中街88号,0717-5791106,儿童、成人接种周一至周五上午8：00--12：00下午14：00--17：00。狂犬病暴露处置周一至周日24h
133,五峰县,五峰县县人民医院,产科接种,渔洋关镇古潭路 1 号,0717-5756017,24小时
134,秭归县,归州镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,归州镇归乡路29号,0717-2723992,周一至周五上午8：00-11：30，下午14：30-17：00
135,秭归县,屈原镇卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,屈原镇新安路4号,0717-2771003,周一至周日上午8：00-11：30，下午14：30-17：00
136,秭归县,水田坝乡卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,水田坝乡莲花路2号,0717-2780296,周一至周日上午8：00-11：30，下午14：30-17：00
137,秭归县,泄滩乡卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,泄滩乡更新路12号,0717-2760006,周一至周日上午8：00-11：30，下午14：30-17：00
138,秭归县,沙镇溪镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,沙镇溪镇三星路86号,0717-2611802,周一至周六上午8：00-11：00，下午14：30-17：00
139,秭归县,梅家河乡卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,鲁家湾村团结路27号,0717-2621122,周一至周日上午8：00-11：30，下午14：30-17：00
140,秭归县,磨坪乡卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,磨坪乡磨坪村金叶路49号,0717-2711120,周一至周日上午8：00-11：30，下午14：30-17：00
141,秭归县,两河口镇卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,两河口镇太坪集镇一支笔路36号,0717-2641526,周一至周日上午8：00-11：30，下午14：30-17：00
142,秭归县,郭家坝镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,"郭家坝镇卜庄河居委会
峡江路57号",0717-2670891,周一至周日上午8：00-11：30，下午14：30-17：00
143,秭归县,九畹溪镇卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,九畹溪镇滋兰路242号,0717-2800398,周一至周日上午8：00-11：30，下午14：30-17：00
144,秭归县,杨林桥镇中心卫生院预防接种门诊,儿童、成人接种；狂犬病暴露处置,杨林桥镇杨林桥村2组,0717-2830118,周一至周日上午8：00-11：30，下午14：30-17：00
145,秭归县,秭归县中医医院预防接种门诊,儿童、成人接种、产科接种点、狂犬病暴露处置和狂犬疫苗、狂犬病被动免疫制剂接种服务,茅坪镇平湖大道30号,0717-2992978,周一至周日上午8：00-11：30，下午14：30-17：00
146,秭归县,秭归县人民医院预防接种门诊,儿童、成人接种、产科接种点、狂犬病暴露处置和狂犬疫苗、狂犬病被动免疫制剂接种服务,南郡大道9号,0717-2993260,周一至周日上午8：00-11：30，下午14：30-17：00
147,长阳县,龙舟坪镇卫生院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",湖北省宜昌市长阳土家族自治县龙舟坪镇星城二路1号,0717-5318380,周一至周日上午8：00-11：30，下午14：00-16：30 。犬伤暴露处置24小时
148,长阳县,磨市镇卫生院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳磨市镇救师口村一桥街15号,19971405220,周一至周五上午8：00-11：30，下午14：30-17：00 。犬伤暴露处置24小时
149,长阳县,大堰乡卫生院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳大堰乡大堰村大堰街111号,0717-5459211,"周一至周五上午：8：00-11：30，下午14：30-17：00 。犬伤暴露处置24小时
"
150,长阳县,都镇湾镇中心卫生院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳都镇湾镇庄溪村庄溪大道85号,0717-5401509,周一至周日上午8：00-11：30，下午14：00-16：30 。犬伤暴露处置24小时
151,长阳县,鸭子口乡卫生院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳鸭子口乡厚浪沱村厚浪沱路21号,0717-5424591,周一至周五上午8：30-12：00，下午14：00-17：30 。犬伤暴露处置24小时
152,长阳县,火烧坪乡卫生院接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳火烧坪乡青树包村兴农街112号,0717-5331579,周一至周日上午8：00-12：00，下午14：30-17：30 。犬伤暴露处置24小时
153,长阳县,资丘镇卫生院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳资丘镇资丘村桃园路43号,0717-5472108,周一至周五上午8：30-12：00，下午14：00-17：00 。犬伤暴露处置24小时
154,长阳县,渔峡口镇卫生院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳渔峡口镇渔坪村盐阳路23号,0717-5418030-8406,周一至周五上午8：30-12：00，下午14：00-17：30 。犬伤暴露处置24小时
155,长阳县,榔坪镇中心卫生院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳榔坪镇社坪村榔坪街247号,0717-5492997,周一至周五上午8：00-11：30，下午14：00-17：00 。犬伤暴露处置24小时
156,长阳县,贺家坪镇卫生院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳贺家坪镇贺家坪村康复路8号,0717-5486229,周一至周五上午8：30-12：00，下午14：30-17：30 。犬伤暴露处置24小时
157,长阳县,高家堰镇卫生院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳高家堰镇高家堰村丹水大道72号,0717-5351008,"周一到周五上午8：30-12：00，下午14：00-17：30 。犬伤暴露处置24小时
"
158,长阳县,长阳县人民医院产科接种点,产科接种,长阳龙舟坪镇龙舟大道72号,0717-5451142,24小时
159,长阳县,长阳县妇幼保健院产科接种点,产科接种,长阳龙舟坪镇四冲街4号,0717-5325572,24小时
160,长阳县,长阳县妇幼保健院预防接种门诊,"儿童、成人接种；
狂犬病暴露处置",长阳龙舟坪镇四冲街4号,0717-5330120犬伤门诊19186255120,周一至周五，上午08：00-11：30，下午02：30-05：00；周日上午08：00-11：30。犬伤暴露处置24小时
